vrsta;kljuc;vrijednost;napomena
debljina;IV000106;18;Igor 14.9.2026. (obrazac compact i zidne obloge): IVERAL ZELENI 021
debljina;IV000259;13;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT PLOČA CRNA - CRNA ISPUNA 080FH
debljina;IV000417;18;Igor 14.9.2026. (obrazac compact i zidne obloge): MDF FRONTA PVC FP0204 ANTRACIT
debljina;IV000651;18;Igor 14.9.2026. (obrazac compact i zidne obloge): IVERAL U12188XM/ML SVJETLO SIVA V100A
debljina;IV000661;18;Igor 14.9.2026. (obrazac compact i zidne obloge): AKRIL CASHMERE VA -115
debljina;IV000686;18;Igor 14.9.2026. (obrazac compact i zidne obloge): MDF FRONTA FP0605 PICASSO INOX
debljina;IV000722;18;Igor 14.9.2026. (obrazac compact i zidne obloge): PVC BIJELI KAMEN VHG-20
debljina;IV000784;12;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT F637 ST10
debljina;IV000802;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA OBLOGA F812/H050
debljina;IV000806;18;Igor 14.9.2026. (obrazac compact i zidne obloge): IVERAL MIDNIGHT PLAVA K099
debljina;IV000849;13;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT MANGO 0010 FH CRNA ISPUNA
debljina;IV000851;18;Igor 14.9.2026. (obrazac compact i zidne obloge): IVERAL K096 GLINENO SIVA
debljina;IV000885;12;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT FANGO S CRNOM JEZGROM 2206AP
debljina;IV000920;12;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT F187
debljina;IV000921;12;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT KARA 0566 FH CRNA ISPUNA
debljina;IV000959;13;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT TORTONA 2289 FH
debljina;IV000960;18;Igor 14.9.2026. (obrazac compact i zidne obloge): IVERAL K353 CHARCOAL FLOW
debljina;IV000961;18;Igor 14.9.2026. (obrazac compact i zidne obloge): MDF FRONTA FP0608 KAŠMIR ZLATNA
debljina;IV000994;18;Igor 14.9.2026.: dopunjeno i u nazivu u Pantheonu
debljina;IV001018;13;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT H1180 ST37 HALIFAX NATURAL
debljina;IV001032;19;Igor 14.9.2026.: MDF U665 PM/ST9 MAT je 19 mm (U665PM-18 je drugi artikl)
debljina;IV001036;18;Igor 14.9.2026. (obrazac compact i zidne obloge): IVERAL H1242 SHEFFIELD BAGREM NATUR
debljina;IV001079;12;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT F800 ST9
debljina;IV001101;12;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT F244
debljina;IV001114;12;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT SLIM LINE SLATE VULCANO S CRNOM JEZGROM-K2877PH
debljina;IV001141;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA OBLOGA F234ST76/F251ST9
debljina;IV001223;12;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT SLIM LINE MARBLE EMPERADOR S CRNOM JEZGROM K2884PH
debljina;IV001224;12;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT SLIM LINE SLATE CRNI SA CRNOM JEZGROM 0190SL
debljina;IV001225;12;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT SLIM LINE CRNI S CRNOM JEZGROM 2190OM
debljina;IV001266;12;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT EXT CAVE S CRNOM JEZGROM 0428NN/NW
debljina;IV001267;12;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT SILVRETTA S CRNOM JEZGROM 0229FH
debljina;IV001272;18;Igor 14.9.2026. (obrazac compact i zidne obloge): IVERAL MACADAMIA K681 DP
debljina;IV001274;19;Igor 14.9.2026.: IVERAL FURNIR HRAST 1 KLASA je 19 mm
debljina;IV001304;12;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT FANGO S CRNOM JEZGROM 2206FH
debljina;IV001307;12;Igor 14.9.2026. (obrazac compact i zidne obloge): COMPACT U999 ST76 12/650MM
debljina;RP000092;15;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA PLOČA KAINDL
debljina;RP000201;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA PLOČA U702 ST89
debljina;RP000207;12;Igor 14.9.2026. (obrazac compact i zidne obloge): RP COMPACT F222 ST76 TERRA TESINA CERAMIC
debljina;RP000224;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA PLOČA F229 ST75
debljina;RP000227;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA PLOČA F226/F229
debljina;RP000229;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA PLOČA F121/F117
debljina;RP000241;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA OBLOGA F800 ST9/H1313 ST10
debljina;RP000247;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA PLOČA F108/F208 ST75
debljina;RP000253;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA PLOČA F227
debljina;RP000257;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA PLOČA F095 ST87/F093 ST7
debljina;RP000305;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA PLOČA W1000 ST76
debljina;RP000306;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA PLOČA F186 ST9/F032 ST78
debljina;RP000308;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA PLOČA H1180 ST37
debljina;RP000309;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA PLOČA H3157/H2033
debljina;RP000312;8;Igor 14.9.2026. (obrazac compact i zidne obloge): ZIDNA PLOČA F836 ST75/F267 ST76
debljina_umjesto_naziva;IV001290;19;Igor 14.9.2026.: ploca je 19 mm, naziv u Pantheonu jos kaze 18 - bit ce ispravljen u Pantheonu
ne_koristi_se;IV000633;1;Igor 14.9.2026.: ne koristi se - za taj dekor postoje IV000941 (18 mm) i IV001106 (25 mm)
ne_koristi_se;IV000698;1;Igor 14.9.2026.: ZIDNA OBLOGA PURE se ne koristi, debljina nije bitna
winstore_kod;0162PE-25;IV000079;Operater 14.9.2026. (obrazac Winstore kodova)
winstore_kod;0227-19;IV000328;Operater 14.9.2026. (obrazac Winstore kodova)
winstore_kod;0514AM-18;IV000405;Operater 14.9.2026. (obrazac Winstore kodova)
winstore_kod;2800AB-19;IV000065;Operater 14.9.2026. (obrazac Winstore kodova)
winstore_kod;37737ND-19;IV000052;Operater 14.9.2026. (obrazac Winstore kodova)
winstore_kod;H1277ST9-18;IV000886;Operater 14.9.2026. (obrazac Winstore kodova)
winstore_kod;H3303ST10-18;IV000941;Hamilton hrast natur 18 mm (Winstore jos vodi stari ST10 kod)
winstore_kod;H3303ST10-25;IV001106;Hamilton hrast natur 25 mm (Winstore jos vodi stari ST10 kod)
winstore_kod;IV000054-3;IV000054;"Igor 14.9.2026.: MDF 3 mm je stvarno 3,2-3,6 mm pa se nut radi 4 mm; Corpus zato deklarira 4 mm, a ploca je IV000054 (3 mm)"
winstore_kod;IV000065-25;IV001027;"Operater 14.9.2026.; Igor: hrast furnir 26 mm - IV001027 ce dobiti novi kod u Winstoreu, naknadno"
